Định nghĩa,Điều – khoản tương ứng,Nội dung chi tiết,Keyphrase
Phạm vi điều chỉnh, Điều 1 luật Bảo hiểm xã hội số 58/2014/QH13  ngày 20 tháng 11 năm 2014,"Luật này quy định chế độ, chính sách bảo hiểm xã hội; quyền và trách nhiệm của người lao động, người sử dụng lao động; cơ quan, tổ chức, cá nhân có liên quan đến bảo hiểm xã hội, tổ chức đại diện tập thể lao động, tổ chức đại diện người sử dụng lao động; cơ quan bảo hiểm xã hội; quỹ bảo hiểm xã hội; thủ tục thực hiện bảo hiểm xã hội và quản lý nhà nước về bảo hiểm xã hội.","bao hiem xa hoi, pham vi dieu chinh"
Đối tượng áp dụng, mục 1 Điều 2 luật Bảo hiểm xã hội số 58/2014/QH13  ngày 20 tháng 11 năm 2014,"1. Người lao động là công dân Việt Nam thuộc đối tượng tham gia bảo hiểm xã hội bắt buộc, bao gồm:","bao hiem xa hoi, doi tuong ap dung"
1. Người lao động là công dân Việt Nam thuộc đối tượng tham gia bảo hiểm xã hội bắt buộc,khoản a mục 1 Điều 2 luật Bảo hiểm xã hội số 58/2014/QH13  ngày 20 tháng 11 năm 2014,"a) Người làm việc theo hợp đồng lao động không xác định thời hạn, hợp đồng lao động xác định thời hạn, hợp đồng lao động theo mùa vụ hoặc theo một công việc nhất định có thời hạn từ đủ 03 tháng đến dưới 12 tháng, kể cả hợp đồng lao động được ký kết giữa người sử dụng lao động với người đại diện theo pháp luật của người dưới 15 tuổi theo quy định của pháp luật về lao động;","nguoi lao dong, cong dan viet nam, doi tuong, tham gia, bao hiem xa hoi bat buoc"
1. Người lao động là công dân Việt Nam thuộc đối tượng tham gia bảo hiểm xã hội bắt buộc,khoản b mục 1 Điều 2 luật Bảo hiểm xã hội số 58/2014/QH13  ngày 20 tháng 11 năm 2014,b) Người làm việc theo hợp đồng lao động có thời hạn từ đủ 01 tháng đến dưới 03 tháng;,"nguoi lao dong, cong dan viet nam, doi tuong, tham gia, bao hiem xa hoi bat buoc"
1. Người lao động là công dân Việt Nam thuộc đối tượng tham gia bảo hiểm xã hội bắt buộc,khoản c mục 1 Điều 2 luật Bảo hiểm xã hội số 58/2014/QH13  ngày 20 tháng 11 năm 2014,"c) Cán bộ, công chức, viên chức;","nguoi lao dong, cong dan viet nam, doi tuong, tham gia, bao hiem xa hoi bat buoc"
1. Người lao động là công dân Việt Nam thuộc đối tượng tham gia bảo hiểm xã hội bắt buộc,khoản d mục 1 Điều 2 luật Bảo hiểm xã hội số 58/2014/QH13  ngày 20 tháng 11 năm 2014,"d) Công nhân quốc phòng, công nhân công an, người làm công tác khác trong tổ chức cơ yếu;","nguoi lao dong, cong dan viet nam, doi tuong, tham gia, bao hiem xa hoi bat buoc"
1. Người lao động là công dân Việt Nam thuộc đối tượng tham gia bảo hiểm xã hội bắt buộc,khoản đ mục 1 Điều 2 luật Bảo hiểm xã hội số 58/2014/QH13  ngày 20 tháng 11 năm 2014,"đ) Sĩ quan, quân nhân chuyên nghiệp quân đội nhân dân; sĩ quan, hạ sĩ quan nghiệp vụ, sĩ quan, hạ sĩ quan chuyên môn kỹ thuật công an nhân dân; người làm công tác cơ yếu hưởng lương như đối với quân nhân;","nguoi lao dong, cong dan viet nam, doi tuong, tham gia, bao hiem xa hoi bat buoc"
1. Người lao động là công dân Việt Nam thuộc đối tượng tham gia bảo hiểm xã hội bắt buộc,khoản e mục 1 Điều 2 luật Bảo hiểm xã hội số 58/2014/QH13  ngày 20 tháng 11 năm 2014,"e) Hạ sĩ quan, chiến sĩ quân đội nhân dân; hạ sĩ quan, chiến sĩ công an nhân dân phục vụ có thời hạn; học viên quân đội, công an, cơ yếu đang theo học được hưởng sinh hoạt phí;","nguoi lao dong, cong dan viet nam, doi tuong, tham gia, bao hiem xa hoi bat buoc"
1. Người lao động là công dân Việt Nam thuộc đối tượng tham gia bảo hiểm xã hội bắt buộc,khoản g mục 1 Điều 2 luật Bảo hiểm xã hội số 58/2014/QH13  ngày 20 tháng 11 năm 2014,g) Người đi làm việc ở nước ngoài theo hợp đồng quy định tại Luật người lao động Việt Nam đi làm việc ở nước ngoài theo hợp đồng;,"nguoi lao dong, cong dan viet nam, doi tuong, tham gia, bao hiem xa hoi bat buoc"
1. Người lao động là công dân Việt Nam thuộc đối tượng tham gia bảo hiểm xã hội bắt buộc,khoản h mục 1 Điều 2 luật Bảo hiểm xã hội số 58/2014/QH13  ngày 20 tháng 11 năm 2014,"h) Người quản lý doanh nghiệp, người quản lý điều hành hợp tác xã có hưởng tiền lương;","nguoi lao dong, cong dan viet nam, doi tuong, tham gia, bao hiem xa hoi bat buoc"
